,,,,,FIRST,MIDDLE,LAST,SUFFIX,,,
BUTLER,Rock Creek Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,87,000380
BUTLER,Rosalia Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,82,000390
BUTLER,Rosalia Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,156,000390
BUTLER,Spring Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,216,000410
BUTLER,Spring Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,406,000410
BUTLER,Towanda Township/City,Kansas House of Representatives,75,"Scribner, Suzanne  ",Suzanne,,Scribner,,Democratic,331,000430
BUTLER,Towanda Township/City,Kansas House of Representatives,75,"Carpenter, Will  ",Will,,Carpenter,,Republican,810,000430
BUTLER,Union Township / Latham,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,27,000440
BUTLER,Union Township / Latham,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,41,000440
BUTLER,Walnut Township,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,258,000450
BUTLER,Andover South H77,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,113,120020
BUTLER,Andover South H99,Kansas House of Representatives,99,"Hedke, Dennis  ",Dennis,,Hedke,,Republican,2011,120030
BUTLER,Augusta Township S14,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,138,120040
BUTLER,Augusta Township S16,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,364,120050
BUTLER,Bruno Township H77,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,573,120060
BUTLER,Bruno Township H99,Kansas House of Representatives,99,"Hedke, Dennis  ",Dennis,,Hedke,,Republican,355,120070
BUTLER,Whitewater / Milton Township H72,Kansas House of Representatives,72,"Reynolds, Glenda  ",Glenda,,Reynolds,,Democratic,118,120080
BUTLER,Whitewater / Milton Township H72,Kansas House of Representatives,72,"Rhoades, Marc  ",Marc,,Rhoades,,Republican,196,120080
BUTLER,Whitewater / Milton Township H75,Kansas House of Representatives,75,"Scribner, Suzanne  ",Suzanne,,Scribner,,Democratic,42,120090
BUTLER,Whitewater / Milton Township H75,Kansas House of Representatives,75,"Carpenter, Will  ",Will,,Carpenter,,Republican,168,120090
BUTLER,Rose Hill City,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,1346,200010
BUTLER,Richland Township H77,Kansas House of Representatives,77,"Crum, J. David ",J.,David,Crum,,Republican,440,800040
BUTLER,Chelsea Township,Kansas House of Representatives,75,"Scribner, Suzanne  ",Suzanne,,Scribner,,Democratic,47,800050
BUTLER,Chelsea Township,Kansas House of Representatives,75,"Carpenter, Will  ",Will,,Carpenter,,Republican,52,800050
CHASE,Bazaar Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,32,000010
CHASE,Cedar Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,43,000020
CHASE,Cottonwood Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,45,000030
CHASE,Diamond Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,105,000040
CHASE,East Falls Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,168,000050
CHASE,East Strong Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,178,000060
CHASE,Homestead Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,20,000070
CHASE,Matfield Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,49,000080
CHASE,Toledo Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,136,000090
CHASE,West Falls Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,215,000100
CHASE,West Strong Township,Kansas House of Representatives,68,"Moxley, Tom J. ",Tom,J.,Moxley,,Republican,56,000110
CHAUTAUQUA,Caneyville Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,12,000010
CHAUTAUQUA,Caneyville Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,34,000010
CHAUTAUQUA,Center Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,12,000020
CHAUTAUQUA,Center Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,23,000020
CHAUTAUQUA,Chautauqua,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,24,000030
CHAUTAUQUA,Chautauqua,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,95,000030
CHAUTAUQUA,Harrison Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,11,000040
CHAUTAUQUA,Harrison Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,31,000040
CHAUTAUQUA,Hendricks Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,21,000050
CHAUTAUQUA,Hendricks Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,22,000050
CHAUTAUQUA,Jefferson Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,99,000060
CHAUTAUQUA,Jefferson Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,163,000060
CHAUTAUQUA,Lafayette Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,8,000070
CHAUTAUQUA,Lafayette Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,15,000070
CHAUTAUQUA,Little Caney Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,39,000080
CHAUTAUQUA,Little Caney Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,82,000080
CHAUTAUQUA,North Sedan,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,136,000090
CHAUTAUQUA,North Sedan,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,224,000090
CHAUTAUQUA,Peru,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,43,000100
CHAUTAUQUA,Peru,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,115,000100
CHAUTAUQUA,Salt Creek Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,10,000110
CHAUTAUQUA,Salt Creek Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,51,000110
CHAUTAUQUA,South Sedan,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,76,000120
CHAUTAUQUA,South Sedan,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,167,000120
CHAUTAUQUA,Summit Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,11,000130
CHAUTAUQUA,Summit Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,35,000130
CHAUTAUQUA,Washington Township,Kansas House of Representatives,12,"Bumgarner, Tina  ",Tina,,Bumgarner,,Democratic,8,000140
CHAUTAUQUA,Washington Township,Kansas House of Representatives,12,"Peck, Virgil  ",Virgil,,Peck,,Republican,33,000140
CHEROKEE,Baxter Springs Ward 1,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,184,000010
CHEROKEE,Baxter Springs Ward 1,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,149,000010
CHEROKEE,Baxter Springs Ward 2,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,144,000020
CHEROKEE,Baxter Springs Ward 2,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,105,000020
CHEROKEE,Baxter Springs Ward 3,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,335,000030
CHEROKEE,Baxter Springs Ward 3,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,278,000030
CHEROKEE,Baxter Springs Ward 4,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,194,00004A
CHEROKEE,Baxter Springs Ward 4,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,150,00004A
CHEROKEE,Baxter Springs Ward 4 Exclave,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00004B
CHEROKEE,Baxter Springs Ward 4 Exclave,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00004B
CHEROKEE,Cherokee Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,73,000050
CHEROKEE,Cherokee Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,76,000050
CHEROKEE,Columbus Ward 1,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,62,000060
CHEROKEE,Columbus Ward 1,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,137,000060
CHEROKEE,Columbus Ward 2,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,150,000070
CHEROKEE,Columbus Ward 2,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,235,000070
CHEROKEE,Columbus Ward 3,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,119,000080
CHEROKEE,Columbus Ward 3,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,215,000080
CHEROKEE,Columbus Ward 4,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,80,000090
CHEROKEE,Columbus Ward 4,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,97,000090
CHEROKEE,Columbus Ward 5,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,101,00010A
CHEROKEE,Columbus Ward 5,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,183,00010A
CHEROKEE,Columbus Ward 5 Exclave,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00010B
CHEROKEE,Columbus Ward 5 Exclave,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00010B
CHEROKEE,Crawford Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,120,000110
CHEROKEE,Crawford Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,211,000110
CHEROKEE,Galena Ward 1,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,131,000120
CHEROKEE,Galena Ward 1,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,112,000120
CHEROKEE,Galena Ward 2,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,100,00013A
CHEROKEE,Galena Ward 2,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,113,00013A
CHEROKEE,Galena Ward 2 Exclave A City Park,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00013B
CHEROKEE,Galena Ward 2 Exclave A City Park,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00013B
CHEROKEE,Galena Ward 2 Exclave B,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00013C
CHEROKEE,Galena Ward 2 Exclave B,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00013C
CHEROKEE,Galena Ward 2 Exclave C,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00013D
CHEROKEE,Galena Ward 2 Exclave C,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00013D
CHEROKEE,Galena Ward 3,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,180,000140
CHEROKEE,Galena Ward 3,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,165,000140
CHEROKEE,Galena Ward 4,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,87,00015A
CHEROKEE,Galena Ward 4,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,64,00015A
CHEROKEE,Galena Ward 4 Exclave,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00015B
CHEROKEE,Galena Ward 4 Exclave,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00015B
CHEROKEE,Galena Ward 5,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,000160
CHEROKEE,Galena Ward 5,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,000160
CHEROKEE,Garden Township Lowell,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,490,000170
CHEROKEE,Garden Township Lowell,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,467,000170
CHEROKEE,Garden Township Stanley Mine,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,117,00018A
CHEROKEE,Garden Township Stanley Mine,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,148,00018A
CHEROKEE,Garden Township Stanley Mine Enclave A,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00018B
CHEROKEE,Garden Township Stanley Mine Enclave A,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00018B
CHEROKEE,Garden Township Stanley Mine Enclave B,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00018C
CHEROKEE,Garden Township Stanley Mine Enclave B,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00018C
CHEROKEE,Lola Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,40,000190
CHEROKEE,Lola Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,102,000190
CHEROKEE,Lowell Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,110,000200
CHEROKEE,Lowell Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,156,000200
CHEROKEE,Lyon Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,67,000210
CHEROKEE,Lyon Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,108,000210
CHEROKEE,Mineral Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,35,000220
CHEROKEE,Mineral Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,62,000220
CHEROKEE,Neosho Township Faulkner,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,11,000230
CHEROKEE,Neosho Township Faulkner,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,29,000230
CHEROKEE,Neosho Township Melrose,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,37,000240
CHEROKEE,Neosho Township Melrose,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,36,000240
CHEROKEE,Pleasant View Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,99,000250
CHEROKEE,Pleasant View Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,181,000250
CHEROKEE,Roseland City,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,000260
CHEROKEE,Roseland City,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,000260
CHEROKEE,Ross Township Belleview,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,47,000270
CHEROKEE,Ross Township Belleview,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,49,000270
CHEROKEE,Ross Township Roseland,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,67,000280
CHEROKEE,Ross Township Roseland,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,59,000280
CHEROKEE,Ross Township West Mineral,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,52,000290
CHEROKEE,Ross Township West Mineral,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,62,000290
CHEROKEE,Salamanca Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,100,00030A
CHEROKEE,Salamanca Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,192,00030A
CHEROKEE,Salamanca Township Enclave,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00030B
CHEROKEE,Salamanca Township Enclave,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00030B
CHEROKEE,Scammon Ward 1,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,34,000310
CHEROKEE,Scammon Ward 1,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,17,000310
CHEROKEE,Scammon Ward 2,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,32,000320
CHEROKEE,Scammon Ward 2,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,34,000320
CHEROKEE,Scammon Ward 3,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,38,000330
CHEROKEE,Scammon Ward 3,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,40,000330
CHEROKEE,Shawnee Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,75,000340
CHEROKEE,Shawnee Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,142,000340
CHEROKEE,Sheridan Township,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,34,000350
CHEROKEE,Sheridan Township,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,65,000350
CHEROKEE,Spring Valley Township Neutral,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,140,000360
CHEROKEE,Spring Valley Township Neutral,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,146,000360
CHEROKEE,Spring Valley Township Spring Valley,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,98,00037A
CHEROKEE,Spring Valley Township Spring Valley,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,97,00037A
CHEROKEE,Spring Valley Township Spring Valley Enclave,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00037B
CHEROKEE,Spring Valley Township Spring Valley Enclave,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00037B
CHEROKEE,Spring Valley Township Spring Valley Enclave,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00037C
CHEROKEE,Spring Valley Township Spring Valley Enclave,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00037C
CHEROKEE,Treece City,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,1,000380
CHEROKEE,Treece City,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,000380
CHEROKEE,Weir Ward 1,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,35,00039A
CHEROKEE,Weir Ward 1,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,24,00039A
CHEROKEE,Weir Ward 2,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,74,000400
CHEROKEE,Weir Ward 2,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,48,000400
CHEROKEE,Weir Ward 3,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,45,000410
CHEROKEE,Weir Ward 3,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,30,000410
CHEROKEE,West Mineral City,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00042A
CHEROKEE,West Mineral City,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00042A
CHEROKEE,West Mineral City Exclave Big Brutus,Kansas House of Representatives,1,"Randall, Grant  ",Grant,,Randall,,Democratic,0,00042B
CHEROKEE,West Mineral City Exclave Big Brutus,Kansas House of Representatives,1,"Houser, Michael  ",Michael,,Houser,,Republican,0,00042B
CHEYENNE,Benkelman Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,16,000010
CHEYENNE,Bird City Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,258,000020
CHEYENNE,Calhoun Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,27,000030
CHEYENNE,Cleveland Run Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,29,000040
CHEYENNE,Jaqua Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,8,000050
CHEYENNE,Orlando Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,23,000060
CHEYENNE,Wano 1 Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,354,000070
CHEYENNE,Wano 2 Township,Kansas House of Representatives,120,"Cassidy, Ward M. ",Ward,M.,Cassidy,,Republican,486,000080
CLARK,Appleton Township,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,63,000010
CLARK,Appleton Township,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,318,000010
CLARK,Center 1,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,60,000020
CLARK,Center 1,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,196,000020
CLARK,Center 2,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,27,000030
CLARK,Center 2,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,151,000030
CLARK,Englewood Township,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,14,000040
CLARK,Englewood Township,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,51,000040
CLARK,Lexington Township,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,8,000050
CLARK,Lexington Township,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,22,000050
CLARK,Liberty Township,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,3,000060
CLARK,Liberty Township,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,25,000060
CLARK,Sitka Township,Kansas House of Representatives,115,"Gilbert, Marjorie ""Mo"" ",Marjorie,"""Mo""",Gilbert,,Democratic,7,000070
CLARK,Sitka Township,Kansas House of Representatives,115,"Ryckman, Ronald  ",Ronald,,Ryckman,,Republican,31,000070
CLAY,Athelstane Township,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,4,000010
CLAY,Athelstane Township,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,50,000010
CLAY,Blaine Township,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,9,000020
CLAY,Blaine Township,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,123,000020
CLAY,Bloom Township,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,4,000030
CLAY,Bloom Township,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,50,000030
CLAY,Chapman Township,Kansas House of Representatives,70,"Barker, John E ",John,E,Barker,,Republican,65,000040
CLAY,Clay Center Township,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,26,00005A
CLAY,Clay Center Township,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,157,00005A
CLAY,Clay Center Township Enclave,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,0,00005B
CLAY,Clay Center Township Enclave,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,0,00005B
CLAY,Clay Center Ward 1,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,58,00006A
CLAY,Clay Center Ward 1,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,503,00006A
CLAY,Clay Center Ward 1 Exclave,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,0,00006B
CLAY,Clay Center Ward 1 Exclave,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,0,00006B
CLAY,Clay Center Ward 2,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,71,000070
CLAY,Clay Center Ward 2,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,520,000070
CLAY,Clay Center Ward 3,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,28,000080
CLAY,Clay Center Ward 3,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,323,000080
CLAY,Clay Center Ward 4,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,47,000090
CLAY,Clay Center Ward 4,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,250,000090
CLAY,Exeter Township,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,9,000100
CLAY,Exeter Township,Kansas House of Representatives,64,"Swanson, Vern  ",Vern,,Swanson,,Republican,36,000100
CLAY,Five Creeks Township,Kansas House of Representatives,64,"Breitmeyer, Philip ""Skip"" ",Philip,"""Skip""",Breitmeyer,,Libertarian,8,000110
