,STATE SEN 6,,,,STATE SEN 7,,,,STATE SEN 8,,,,STATE SEN 9,,,,STATE SEN 10,,,,STATE SEN 11,,,,STATE SEN 21,,,,STATE SEN 23,,,,STATE SEN 37,
Olathe 1-13,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,63.66%,254,36.34%,-,-
Olathe 1-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,487,66.53%,244,33.33%,-,-
Olathe 1-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,688,69.78%,296,30.02%,-,-
Olathe 1-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,98.28%
Olathe 1-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,62.68%,78,37.32%,-,-
Olathe 1-19,-,-,-,-,-,-,-,-,-,-,-,-,217,59.94%,145,40.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-20,-,-,-,-,-,-,-,-,-,-,-,-,333,56.44%,255,43.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-21,-,-,-,-,-,-,-,-,-,-,-,-,590,59.96%,394,40.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-22,-,-,-,-,-,-,-,-,-,-,-,-,789,71.40%,316,28.60%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-23,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-24,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-
Olathe 1-26,-,-,-,-,-,-,-,-,-,-,-,-,0,0.00%,4,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-27,-,-,-,-,-,-,-,-,-,-,-,-,299,55.27%,242,44.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,60.89%,79,39.11%,-,-
Olathe 1-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,68.03%,39,31.97%,-,-
Olathe 2-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,65.49%,127,34.51%,-,-
Olathe 2-02,-,-,-,-,-,-,-,-,-,-,-,-,262,61.07%,167,38.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,333,55.04%,272,44.96%,-,-
Olathe 2-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,379,51.01%,362,48.72%,-,-
Olathe 2-05,-,-,-,-,-,-,-,-,-,-,-,-,1054,73.25%,384,26.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-06,-,-,-,-,-,-,-,-,-,-,-,-,600,75.76%,192,24.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-07,-,-,-,-,-,-,-,-,-,-,-,-,667,67.44%,321,32.46%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505,55.31%,408,44.69%,-,-
Olathe 2-09,-,-,-,-,-,-,-,-,-,-,-,-,210,62.31%,127,37.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-10,-,-,-,-,-,-,-,-,-,-,-,-,925,60.62%,599,39.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-11,-,-,-,-,-,-,-,-,-,-,-,-,667,60.91%,427,39.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-12,-,-,-,-,-,-,-,-,-,-,-,-,370,63.57%,212,36.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-13,-,-,-,-,-,-,-,-,-,-,-,-,423,63.04%,248,36.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,376,59.68%,253,40.16%,-,-
Olathe 2-15,-,-,-,-,-,-,-,-,-,-,-,-,321,71.97%,125,28.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-16,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-17,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-
Olathe 2-19,-,-,-,-,-,-,-,-,-,-,-,-,5,71.43%,2,28.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-20,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-21,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-22,-,-,-,-,-,-,-,-,-,-,-,-,704,65.73%,367,34.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-23,-,-,-,-,-,-,-,-,-,-,-,-,531,64.99%,285,34.88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-24,-,-,-,-,-,-,-,-,-,-,-,-,11,78.57%,3,21.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-25,-,-,-,-,-,-,-,-,-,-,-,-,2,25.00%,6,75.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-26,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-27,-,-,-,-,-,-,-,-,-,-,-,-,9,81.82%,2,18.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 2-28,-,-,-,-,-,-,-,-,-,-,-,-,134,54.69%,111,45.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 3-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,54.26%,177,45.74%,-,-
Olathe 3-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,605,59.02%,418,40.78%,-,-
Olathe 3-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,369,70.69%,151,28.93%,-,-
Olathe 3-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,551,62.47%,328,37.19%,-,-
Olathe 3-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,647,98.78%
Olathe 3-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,422,69.41%,186,30.59%,-,-
Olathe 3-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,64.94%,215,34.90%,-,-
Olathe 3-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,596,66.97%,294,33.03%,-,-
Olathe 3-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,323,65.78%,167,34.01%,-,-
Olathe 3-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,645,66.43%,325,33.47%,-,-
Olathe 3-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,61.92%,246,38.08%,-,-
Olathe 3-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,60.69%,340,39.08%,-,-
Olathe 3-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,574,64.93%,308,34.84%,-,-
Olathe 3-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,100.00%
Olathe 3-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,467,68.27%,217,31.73%,-,-
Olathe 3-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,487,65.90%,252,34.10%,-,-
Olathe 3-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,640,68.16%,299,31.84%,-,-
Olathe 3-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,546,64.69%,295,34.95%,-,-
Olathe 3-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,73.04%,141,26.96%,-,-
Olathe 3-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,432,70.47%,181,29.53%,-,-
Olathe 3-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,75.82%,96,24.18%,-,-
Olathe 3-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,485,61.47%,304,38.53%,-,-
Olathe 3-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,458,58.34%,327,41.66%,-,-
Olathe 3-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-
Olathe 3-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Olathe 3-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,51.72%,41,47.13%,-,-
Olathe 3-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266,66.83%,129,32.41%,-,-
Olathe 4-01,-,-,-,-,-,-,-,-,-,-,-,-,423,54.86%,346,44.88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-02,-,-,-,-,-,-,-,-,-,-,-,-,669,62.06%,406,37.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-03,-,-,-,-,-,-,-,-,-,-,-,-,264,53.01%,233,46.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-04,-,-,-,-,-,-,-,-,-,-,-,-,254,50.70%,247,49.30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-05,-,-,-,-,-,-,-,-,-,-,-,-,475,60.98%,304,39.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,622,59.07%,428,40.65%,-,-
Olathe 4-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,496,53.10%,435,46.57%,-,-
Olathe 4-08,-,-,-,-,-,-,-,-,-,-,-,-,463,65.77%,241,34.23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-09,-,-,-,-,-,-,-,-,-,-,-,-,654,63.87%,370,36.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-10,-,-,-,-,-,-,-,-,-,-,-,-,382,65.08%,205,34.92%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-11,-,-,-,-,-,-,-,-,-,-,-,-,211,49.07%,218,50.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,631,61.68%,391,38.22%,-,-
Olathe 4-13,-,-,-,-,-,-,-,-,-,-,-,-,258,53.53%,223,46.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-14,-,-,-,-,-,-,-,-,-,-,-,-,544,58.43%,386,41.46%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,39.53%,52,60.47%,-,-
Olathe 4-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,50.00%,1,50.00%,-,-
Olathe 4-17,-,-,-,-,-,-,-,-,-,-,-,-,4,80.00%,1,20.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 4-18,-,-,-,-,-,-,-,-,-,-,-,-,160,48.19%,171,51.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,218,61.93%,134,38.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,50,76.92%,15,23.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,25,52.08%,23,47.92%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,1,50.00%,1,50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,3,100.00%,0,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,100.00%
Olathe Twp 0-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,50.00%,1,50.00%,-,-
Olathe Twp 0-08,-,-,-,-,-,-,-,-,-,-,-,-,12,75.00%,4,25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-09,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,63.16%,7,36.84%,-,-
Olathe Twp 0-11,-,-,-,-,-,-,-,-,-,-,-,-,3,75.00%,1,25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-
Olathe Twp 0-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-
Olathe Twp 0-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,100.00%,0,0.00%,-,-
Olathe Twp 0-17,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe Twp 0-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,100.00%,0,0.00%,-,-
Olathe Twp 0-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,87.50%,1,12.50%,-,-
Olathe Twp 0-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,75.00%,1,25.00%,-,-
Olathe Twp 0-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Olathe Twp 0-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,75.00%,7,25.00%,-,-
Overland Park 1-01,417,59.23%,286,40.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-02,-,-,-,-,424,59.14%,293,40.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-03,-,-,-,-,317,47.31%,352,52.54%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,43.13%,149,56.87%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,259,53.73%,223,46.27%,-,-,-,-,-,-
Overland Park 1-06,-,-,-,-,442,54.70%,365,45.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-07,-,-,-,-,423,49.30%,435,50.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,369,53.79%,315,45.92%,-,-,-,-,-,-
Overland Park 1-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198,48.77%,208,51.23%,-,-,-,-,-,-
Overland Park 1-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401,51.15%,383,48.85%,-,-,-,-,-,-
Overland Park 1-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,57.83%,138,41.57%,-,-,-,-,-,-
Overland Park 1-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,56.19%,343,43.81%,-,-,-,-,-,-
Overland Park 1-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,46.89%,281,52.92%,-,-,-,-,-,-
Overland Park 1-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361,50.92%,346,48.80%,-,-,-,-,-,-
Overland Park 1-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187,55.33%,151,44.67%,-,-,-,-,-,-
Overland Park 1-16,-,-,-,-,422,51.78%,391,47.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-17,-,-,-,-,207,55.50%,166,44.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-18,-,-,-,-,297,47.75%,325,52.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,53.86%,275,46.14%,-,-,-,-,-,-
Overland Park 1-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224,55.72%,178,44.28%,-,-,-,-,-,-
Overland Park 1-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,47.79%,118,52.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 1-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,57.80%,73,42.20%,-,-,-,-,-,-
Overland Park 2-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263,47.99%,285,52.01%,-,-,-,-,-,-,-,-,-,-
Overland Park 2-02,-,-,-,-,303,49.43%,309,50.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-03,-,-,-,-,257,47.16%,288,52.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-04,-,-,-,-,-,-,-,-,320,45.85%,378,54.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,333,48.90%,347,50.95%,-,-,-,-,-,-
Overland Park 2-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,311,48.44%,331,51.56%,-,-,-,-,-,-
Overland Park 2-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,45.49%,272,54.51%,-,-,-,-,-,-
Overland Park 2-08,-,-,-,-,262,60.65%,169,39.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-09,-,-,-,-,-,-,-,-,265,45.61%,315,54.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-10,-,-,-,-,-,-,-,-,257,55.63%,203,43.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-11,-,-,-,-,-,-,-,-,300,48.15%,322,51.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-12,-,-,-,-,-,-,-,-,234,48.75%,245,51.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-13,-,-,-,-,-,-,-,-,161,41.39%,228,58.61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-14,-,-,-,-,207,46.94%,233,52.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-15,-,-,-,-,-,-,-,-,374,46.17%,435,53.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-16,-,-,-,-,243,49.69%,246,50.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-17,-,-,-,-,-,-,-,-,435,57.24%,325,42.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,385,46.72%,437,53.03%,-,-,-,-,-,-
Overland Park 2-19,-,-,-,-,219,43.45%,284,56.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-20,-,-,-,-,-,-,-,-,254,53.59%,220,46.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-21,-,-,-,-,222,44.40%,277,55.40%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-22,-,-,-,-,308,50.08%,305,49.59%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-23,-,-,-,-,189,33.69%,372,66.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 2-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,464,48.18%,499,51.82%,-,-,-,-,-,-,-,-,-,-
Overland Park 2-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,337,49.71%,339,50.00%,-,-,-,-,-,-,-,-,-,-
Overland Park 2-26,-,-,-,-,-,-,-,-,121,41.87%,167,57.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-01,-,-,-,-,-,-,-,-,608,57.69%,444,42.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-02,-,-,-,-,-,-,-,-,325,50.00%,325,50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-03,-,-,-,-,-,-,-,-,328,55.78%,260,44.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-04,-,-,-,-,-,-,-,-,389,47.85%,423,52.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-05,-,-,-,-,-,-,-,-,405,51.53%,380,48.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-06,-,-,-,-,-,-,-,-,444,49.55%,452,50.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-07,-,-,-,-,-,-,-,-,286,45.98%,335,53.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-08,-,-,-,-,-,-,-,-,334,50.76%,324,49.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Overland Park 3-09,-,-,-,-,-,-,-,-,516,52.12%,473,47.78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
