Offical Election Results
Douglas County
Contest Name,Candidate Name,Party,Advanced Voting Votes,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Pct Committeeman 6","Charles Murphy","Democratic","0","0","1","0","1","1","1","18"
"Pct Committeeman 6","Wil Westall","Democratic","0","0","1","0","1","1","1","18"
"Pct Committeeman 6","Michael Butler","Democratic","0","0","1","0","1","1","1","18"
"Pct Committeeman 6","Trey Jones","Democratic","0","0","1","0","1","1","1","18"
"Pct Committeeman 6","Don E. Slone","Republican","0","0","1","0","1","1","1","2"
"Pct Committeeman 6","WRITE-IN 131","","1","0","0","0","1","1","1","2"
"Pct 7 Committeeman","WRITE-IN 165","","5","0","4","0","9","1","1","18"
"Pct 7 Committeeman","Brad Mathewson","Democratic","0","0","5","0","5","1","1","18"
"Pct 7 Committeeman","Suzanne Wikle","Democratic","0","0","1","0","1","1","1","18"
"Pct 7 Committeeman","Cale Miller","Democratic","0","0","1","0","1","1","1","18"
"Pct 7 Committeeman","Wesley Peters","Democratic","0","0","1","0","1","1","1","18"
"Pct 7 Committeeman","Caleb Correl","Democratic","0","0","1","0","1","1","1","18"
"Pct 7 Committeeman","James C Dunn","Republican","0","0","4","0","4","1","1","4"
"Pct 7 Committeeman","WRITE-IN 164","","0","0","0","0","0","1","1","4"
"Pct 8 Committeeman","Joe R. Bickford","Democratic","20","0","38","2","60","1","1","62"
"Pct 8 Committeeman","Coleman Ritchie","Democratic","0","0","1","0","1","1","1","62"
"Pct 8 Committeeman","WRITE-IN 168","","0","0","1","0","1","1","1","62"
"Pct 8 Committeeman","Amy Helmer","Republican","0","0","1","0","1","1","1","3"
"Pct 8 Committeeman","Dana Anderson","Republican","0","0","1","0","1","1","1","3"
"Pct 8 Committeeman","WRITE-IN 167","","0","0","1","0","1","1","1","3"
"Pct 9 Commiteeman","WRITE-IN 171","","2","0","8","0","10","1","1","18"
"Pct 9 Commiteeman","Zane Hayden","Democratic","0","0","5","0","5","1","1","18"
"Pct 9 Commiteeman","Canon Krehbiel","Democratic","0","0","1","0","1","1","1","18"
"Pct 9 Commiteeman","Dustin Pravow","Democratic","0","0","1","0","1","1","1","18"
"Pct 9 Commiteeman","Chris Flowers","Democratic","0","0","1","0","1","1","1","18"
"Pct 9 Commiteeman","WRITE-IN 170","","0","0","0","0","0","1","101","0"
"Pct 10 Committeeman","Pablo F. Oropeza","Democratic","0","0","1","0","1","1","1","1"
"Pct 10 Committeeman","WRITE-IN 174","","0","0","0","0","0","1","1","1"
"Pct 10 Committeeman","WRITE-IN 173","","0","0","0","0","0","1","101","0"
"Pct 11 Committeeman","Garth F Burns","Democratic","16","0","99","0","115","1","1","116"
"Pct 11 Committeeman","WRITE-IN 177","","0","0","1","0","1","1","1","116"
"Pct 11 Committeeman","WRITE-IN 176","","0","0","1","0","1","1","1","1"
"Pct 12 Committeeman","WRITE-IN 180","","4","0","9","0","13","1","1","23"
"Pct 12 Committeeman","Leonard Turpen","Democratic","0","0","2","0","2","1","1","23"
"Pct 12 Committeeman","Edgar Neely","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Karl Schomo","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Mark Taylor","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Kathryn D. Myers","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Kristofer Millsap","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Christy Daugenbaugh","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Juanita Carlson","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Jason V Morris","Democratic","0","0","1","0","1","1","1","23"
"Pct 12 Committeeman","Richard L. Todd","Republican","3","0","22","0","25","1","1","25"
"Pct 12 Committeeman","WRITE-IN 179","","0","0","0","0","0","1","1","25"
"Pct 13 Committeeman","James Carttar Brooke","Democratic","44","0","156","0","200","1","1","204"
"Pct 13 Committeeman","WRITE-IN 183","","1","0","2","0","3","1","1","204"
"Pct 13 Committeeman","Wayne A. White","Democratic","0","0","1","0","1","1","1","204"
"Pct 13 Committeeman","Robert Price","Republican","5","0","35","0","40","1","1","41"
"Pct 13 Committeeman","WRITE-IN 182","","0","0","1","0","1","1","1","41"
"Pct 14 H10 Committeeman","Cole Browne","Democratic","31","0","89","0","120","1","1","122"
"Pct 14 H10 Committeeman","Ted Mosby","Democratic","0","0","1","0","1","1","1","122"
"Pct 14 H10 Committeeman","WRITE-IN 186","","0","0","1","0","1","1","1","122"
"Pct 14 H10 Committeeman","WRITE-IN 185","","1","0","3","0","4","1","1","5"
"Pct 14 H10 Committeeman","Wint Winters","Republican","0","0","1","0","1","1","1","5"
"Precinct 14 H44 Committeeman","WRITE-IN 992","","3","0","3","0","6","1","1","10"
"Precinct 14 H44 Committeeman","Kyle Whitley","Democratic","0","0","1","0","1","1","1","10"
"Precinct 14 H44 Committeeman","Kenneth Prost","Democratic","0","0","1","0","1","1","1","10"
"Precinct 14 H44 Committeeman","Paul Buskirk","Democratic","0","0","1","0","1","1","1","10"
"Precinct 14 H44 Committeeman","Sam Elliott","Democratic","0","0","1","0","1","1","1","10"
"Precinct 14 H44 Committeeman","WRITE-IN 991","","0","0","2","0","2","1","1","4"
"Precinct 14 H44 Committeeman","Ed Smith","Republican","0","0","1","0","1","1","1","4"
"Precinct 14 H44 Committeeman","Bruce Vaughn","Republican","0","0","1","0","1","1","1","4"
"Precinct 14 H44 Committeeman","Sam Elliott","Republican","0","0","0","0","0","1","1","4"
"Pct 15 Committeeman","David Berkowitz","Democratic","48","0","130","1","179","1","1","182"
"Pct 15 Committeeman","WRITE-IN 189","","2","0","0","0","2","1","1","182"
"Pct 15 Committeeman","Harrison Baker","Democratic","0","0","1","0","1","1","1","182"
"Pct 15 Committeeman","WRITE-IN 188","","0","0","0","0","0","1","101","0"
"Pct 16 Committeeman","Robert J Schumm","Democratic","28","0","94","1","123","1","1","128"
"Pct 16 Committeeman","WRITE-IN 192","","0","0","2","0","2","1","1","128"
"Pct 16 Committeeman","Tim Towle","Democratic","0","0","1","0","1","1","1","128"
"Pct 16 Committeeman","John Paden","Democratic","0","0","1","0","1","1","1","128"
"Pct 16 Committeeman","Rich Greenwood","Democratic","0","0","1","0","1","1","1","128"
"Pct 16 Committeeman","Kim Grubbs","Republican","7","0","23","0","30","1","1","30"
"Pct 16 Committeeman","WRITE-IN 191","","0","0","0","0","0","1","1","30"
"Pct 17 Committeeman","WRITE-IN 195","","3","0","4","0","7","1","1","12"
"Pct 17 Committeeman","Ric Rose","Democratic","0","0","1","0","1","1","1","12"
"Pct 17 Committeeman","Bob Shaum","Democratic","0","0","1","0","1","1","1","12"
"Pct 17 Committeeman","Jeremy Klopenstein","Democratic","0","0","1","0","1","1","1","12"
"Pct 17 Committeeman","Brad Finkeldei","Democratic","0","0","1","0","1","1","1","12"
"Pct 17 Committeeman","Peter Graham","Democratic","0","0","1","0","1","1","1","12"
"Pct 17 Committeeman","Kevin Roush","Republican","8","0","40","0","48","1","1","51"
"Pct 17 Committeeman","WRITE-IN 194","","0","0","2","0","2","1","1","51"
"Pct 17 Committeeman","J Marlow","Republican","0","0","1","0","1","1","1","51"
"Pct 18 Committeeman","WRITE-IN 198","","5","0","7","1","13","1","1","24"
"Pct 18 Committeeman","Derek H Hart","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","John Stockman","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Jared Martin","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Roger Powell","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Lisa A Elder","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Manny King","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Rex Russell","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","James Rumsoy","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Marcus Williamson","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Victor Contoski","Democratic","0","0","1","0","1","1","1","24"
"Pct 18 Committeeman","Samuel Milner","Democratic","0","0","0","1","1","1","1","24"
"Pct 18 Committeeman","Jeffrey Smith","Republican","14","0","35","0","49","1","1","53"
"Pct 18 Committeeman","WRITE-IN 197","","1","0","1","0","2","1","1","53"
"Pct 18 Committeeman","Jerry May","Republican","0","0","1","0","1","1","1","53"
"Pct 18 Committeeman","Victor Contoski","Republican","0","0","1","0","1","1","1","53"
"Pct 19 Committeeman","WRITE-IN 699","","4","0","12","0","16","1","1","25"
"Pct 19 Committeeman","Ron Gaches","Democratic","0","0","3","0","3","1","1","25"
"Pct 19 Committeeman","Eric Struelahoff","Democratic","0","0","1","0","1","1","1","25"
"Pct 19 Committeeman","Steve Anderson","Democratic","0","0","1","0","1","1","1","25"
"Pct 19 Committeeman","Jay Holley","Democratic","0","0","1","0","1","1","1","25"
"Pct 19 Committeeman","Bill Sampson","Democratic","0","0","1","0","1","1","1","25"
"Pct 19 Committeeman","Robert B. Harrington","Democratic","0","0","1","0","1","1","1","25"
"Pct 19 Committeeman","James R. Ward","Democratic","0","0","1","0","1","1","1","25"
"Pct 19 Committeeman","Wayne R. Whitney","Republican","14","0","54","1","69","1","1","70"
"Pct 19 Committeeman","George Bott","Republican","0","0","1","0","1","1","1","70"
"Pct 19 Committeeman","WRITE-IN 698","","0","0","0","0","0","1","1","70"
"Pct 20 Commiteeman","WRITE-IN 702","","2","0","8","0","10","1","1","20"
"Pct 20 Commiteeman","Linda Mannering","Democratic","0","0","3","0","3","1","1","20"
"Pct 20 Commiteeman","David Collins","Democratic","0","0","2","0","2","1","1","20"
"Pct 20 Commiteeman","Jerry Totten","Democratic","0","0","1","0","1","1","1","20"
"Pct 20 Commiteeman","Shelby Shellenger","Democratic","0","0","1","0","1","1","1","20"
"Pct 20 Commiteeman","Rose Campbell","Democratic","0","0","1","0","1","1","1","20"
"Pct 20 Commiteeman","Robert Heintzen","Democratic","0","0","1","0","1","1","1","20"
"Pct 20 Commiteeman","Milton Scott","Democratic","0","0","1","0","1","1","1","20"
"Pct 20 Commiteeman","John P. Milburn","Republican","17","0","54","0","71","1","1","71"
"Pct 20 Commiteeman","Linda Mannering","Republican","0","0","0","0","0","1","1","71"
"Pct 20 Commiteeman","WRITE-IN 701","","0","0","0","0","0","1","1","71"
"Pct 21 Committeeman","WRITE-IN 705","","8","0","7","1","16","1","1","30"
"Pct 21 Committeeman","Virgil Dean","Democratic","0","0","2","0","2","1","1","30"
"Pct 21 Committeeman","Tim Miller","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Chris Flowers","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Jeff Ridgeway","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","John Goodyear","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Guy Dresser","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Steve Munch","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Charles James","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Jerry Nossaman","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Curtis Barnhill","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Caroline Kzielaski","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Dan Green","Democratic","0","0","1","0","1","1","1","30"
"Pct 21 Committeeman","Daniel Luckey","Democratic","0","0","0","1","1","1","1","30"
"Pct 21 Committeeman","WRITE-IN 704","","0","0","0","0","0","1","101","0"
"Pct 22 Committeeman","WRITE-IN 708","","5","0","10","0","15","1","1","22"
"Pct 22 Committeeman","Wayne Ricks","Democratic","0","0","5","0","5","1","1","22"
"Pct 22 Committeeman","Ryan Gellings","Democratic","0","0","1","0","1","1","1","22"
"Pct 22 Committeeman","Joshua Wasinger","Democratic","0","0","1","0","1","1","1","22"
"Pct 22 Committeeman","Michael Bertels","Republican","1","0","24","0","25","1","1","25"
"Pct 22 Committeeman","WRITE-IN 707","","0","0","0","0","0","1","1","25"
"Pct 23 Committeeman","WRITE-IN 711","","1","0","5","1","7","1","1","14"
"Pct 23 Committeeman","Gary Handy","Democratic","0","0","2","0","2","1","1","14"
"Pct 23 Committeeman","Elliott Jones","Democratic","0","0","1","0","1","1","1","14"
"Pct 23 Committeeman","Jonathan W. Latham","Democratic","0","0","1","0","1","1","1","14"
"Pct 23 Committeeman","Kevin Kenn","Democratic","0","0","1","0","1","1","1","14"
"Pct 23 Committeeman","Casey Green","Democratic","0","0","1","0","1","1","1","14"
"Pct 23 Committeeman","Val Stella","Democratic","0","0","1","0","1","1","1","14"
"Pct 23 Committeeman","Jonathan Groene","Republican","0","0","1","0","1","1","1","2"
"Pct 23 Committeeman","WRITE-IN 710","","0","0","1","0","1","1","1","2"
"Pct 24 Committeeman","WRITE-IN 714","","4","0","7","0","11","1","1","20"
"Pct 24 Committeeman","Mike Leitch","Democratic","0","0","2","0","2","1","1","20"
"Pct 24 Committeeman","Michael Wasikowski","Democratic","0","0","2","0","2","1","1","20"
"Pct 24 Committeeman","Robert Turvey","Democratic","0","0","1","0","1","1","1","20"
"Pct 24 Committeeman","Marc A White","Democratic","0","0","1","0","1","1","1","20"
"Pct 24 Committeeman","Brian Mulhem","Democratic","0","0","1","0","1","1","1","20"
"Pct 24 Committeeman","Rhonda Taylor","Democratic","0","0","1","0","1","1","1","20"
"Pct 24 Committeeman","James D Montgomery","Democratic","0","0","1","0","1","1","1","20"
"Pct 24 Committeeman","Joshua Prescott","Republican","4","0","14","0","18","1","1","18"
"Pct 24 Committeeman","WRITE-IN 713","","0","0","0","0","0","1","1","18"
"Precinct 25 H10 Committeeman","Dennis Boog Highberger","Democratic","0","0","1","0","1","1","1","1"
"Precinct 25 H10 Committeeman","Michael Cibura","Democratic","0","0","0","0","0","1","1","1"
"Precinct 25 H10 Committeeman","Dakota Olson","Democratic","0","0","0","0","0","1","1","1"
"Precinct 25 H10 Committeeman","Ben Rockhold","Democratic","0","0","0","0","0","1","1","1"
"Precinct 25 H10 Committeeman","Joe Orosco","Democratic","0","0","0","0","0","1","1","1"
"Precinct 25 H10 Committeeman","WRITE-IN 1165","","0","0","0","0","0","1","1","1"
"Precinct 25 H10 Committeeman","WRITE-IN 1164","","0","0","0","0","0","1","101","0"
"Pct 25 H46 Committeeman","WRITE-IN 717","","1","0","5","0","6","1","1","12"
"Pct 25 H46 Committeeman","Ben Rockhold","Democratic","0","0","3","0","3","1","1","12"
"Pct 25 H46 Committeeman","Michael Cibura","Democratic","0","0","1","0","1","1","1","12"
"Pct 25 H46 Committeeman","Dakota Olson","Democratic","0","0","1","0","1","1","1","12"
"Pct 25 H46 Committeeman","Joe Orosco","Democratic","0","0","1","0","1","1","1","12"
"Pct 25 H46 Committeeman","WRITE-IN 716","","0","0","0","0","0","1","101","0"
"Precinct 26 H10 Committeeman","WRITE-IN 1180","","2","0","8","0","10","1","1","20"
"Precinct 26 H10 Committeeman","Jerry Jost","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Tim Keller","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Ernest Anastasio III","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Bruce Nightingale","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Daniel Merwin","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","John White","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Bartholomew Klick","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Tony Backus","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Mark Hummel","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","Bruce Fey","Democratic","0","0","1","0","1","1","1","20"
"Precinct 26 H10 Committeeman","WRITE-IN 1179","","0","0","1","0","1","1","1","1"
"Pct 26 H46 Committeeman","Mike McCaffery","Democratic","0","0","1","0","1","1","1","2"
"Pct 26 H46 Committeeman","WRITE-IN 720","","0","0","1","0","1","1","1","2"
"Pct 26 H46 Committeeman","WRITE-IN 719","","0","0","0","0","0","1","101","0"
"Precinct 27 Committeeman","Gene Dorsey","Democratic","29","0","81","1","111","1","1","111"
"Precinct 27 Committeeman","WRITE-IN 200","","0","0","0","0","0","1","1","111"
"Precinct 27 Committeeman","WRITE-IN 201","","0","0","3","0","3","1","1","6"
"Precinct 27 Committeeman","Gene Dorsey","Republican","0","0","2","0","2","1","1","6"
"Precinct 27 Committeeman","Beawley Teckleson","Republican","0","0","1","0","1","1","1","6"
"Precinct 28 Committeeman","WRITE-IN 203","","2","0","5","0","7","1","1","13"
"Precinct 28 Committeeman","Samuel B. Carter","Democratic","0","0","2","0","2","1","1","13"
"Precinct 28 Committeeman","Braden Young","Democratic","0","0","1","0","1","1","1","13"
"Precinct 28 Committeeman","Stuart Boley","Democratic","0","0","1","0","1","1","1","13"
"Precinct 28 Committeeman","James W. Woods","Democratic","0","0","1","0","1","1","1","13"
"Precinct 28 Committeeman","Ray Pence (Mizumura)","Democratic","0","0","1","0","1","1","1","13"
"Precinct 28 Committeeman","WRITE-IN 204","","1","0","0","0","1","1","101","1"
"Precinct 29 Committeeman","Thomas Barker","Democratic","13","0","42","2","57","1","1","112"
"Precinct 29 Committeeman","Bill Tuttle","Democratic","12","0","42","1","55","1","1","112"
"Precinct 29 Committeeman","WRITE-IN 206","","0","0","0","0","0","1","1","112"
"Precinct 29 Committeeman","Wade Bailey","Republican","0","0","1","0","1","1","1","4"
"Precinct 29 Committeeman","Margaret Unruh","Republican","0","0","1","0","1","1","1","4"
"Precinct 29 Committeeman","John Landon","Republican","0","0","1","0","1","1","1","4"
"Precinct 29 Committeeman","WRITE-IN 207","","0","0","1","0","1","1","1","4"
"Precinct 30 Committeeman","WRITE-IN 212","","0","0","7","0","7","1","1","13"
"Precinct 30 Committeeman","Demetrius Kemp","Democratic","0","0","1","0","1","1","1","13"
"Precinct 30 Committeeman","Zachary Thomas Hawkins","Democratic","0","0","1","0","1","1","1","13"
"Precinct 30 Committeeman","Jerry O Hainline","Democratic","0","0","1","0","1","1","1","13"
"Precinct 30 Committeeman","Megan Riley Poindexter","Democratic","0","0","1","0","1","1","1","13"
"Precinct 30 Committeeman","Matt Imrie","Democratic","0","0","1","0","1","1","1","13"
"Precinct 30 Committeeman","Jon Carlson","Democratic","0","0","1","0","1","1","1","13"
"Precinct 30 Committeeman","WRITE-IN 213","","0","0","0","0","0","1","101","0"
"Precinct 31 Committeeman","Alex Landazuri","Democratic","36","0","96","2","134","1","1","147"
"Precinct 31 Committeeman","Kelley Spurgeon","Democratic","0","0","10","0","10","1","1","147"
"Precinct 31 Committeeman","WRITE-IN 215","","1","0","1","0","2","1","1","147"
"Precinct 31 Committeeman","Derk Landes","Democratic","0","0","1","0","1","1","1","147"
"Precinct 31 Committeeman","Kevin R Brewer","Republican","0","0","2","0","2","1","1","4"
"Precinct 31 Committeeman","WRITE-IN 216","","0","0","2","0","2","1","1","4"
"Precinct 32 Committeeman","WRITE-IN 218","","3","0","4","0","7","1","1","10"
"Precinct 32 Committeeman","Sam Rabiola","Democratic","0","0","1","0","1","1","1","10"
"Precinct 32 Committeeman","Rex Gardner","Democratic","1","0","0","0","1","1","1","10"
"Precinct 32 Committeeman","Tai Vokins","Democratic","1","0","0","0","1","1","1","10"
"Precinct 32 Committeeman","WRITE-IN 219","","0","0","0","0","0","1","101","0"
"Precinct 33 Committeeman","Ian Crossfield","Democratic","44","0","147","1","192","1","1","204"
"Precinct 33 Committeeman","WRITE-IN 221","","1","0","5","0","6","1","1","204"
"Precinct 33 Committeeman","John Brinton","Democratic","0","0","1","0","1","1","1","204"
"Precinct 33 Committeeman","Lisa Harris-Frydman","Democratic","0","0","1","0","1","1","1","204"
"Precinct 33 Committeeman","Francis Gable","Democratic","0","0","1","0","1","1","1","204"
"Precinct 33 Committeeman","David Hull","Democratic","0","0","1","0","1","1","1","204"
"Precinct 33 Committeeman","Pat Kaehed","Democratic","0","0","1","0","1","1","1","204"
"Precinct 33 Committeeman","Pat Watkins","Democratic","0","0","1","0","1","1","1","204"
"Precinct 33 Committeeman","Doug Robinson","Republican","2","0","9","0","11","1","1","11"
"Precinct 33 Committeeman","WRITE-IN 222","","0","0","0","0","0","1","1","11"
"Precinct 34 Committeeman","Matthew Reed","Democratic","21","0","98","1","120","1","1","126"
"Precinct 34 Committeeman","WRITE-IN 224","","1","0","2","0","3","1","1","126"
"Precinct 34 Committeeman","Kevin W. Hopkins","Democratic","0","0","1","0","1","1","1","126"
"Precinct 34 Committeeman","Brent Piepergerdes","Democratic","0","0","1","0","1","1","1","126"
"Precinct 34 Committeeman","Jonathan Herrera","Democratic","0","0","1","0","1","1","1","126"
"Precinct 34 Committeeman","Cynthia Ebans","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Izzy Tait","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Judy Irley","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Jacqulene Nance-Mengler","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Lisa Simpson","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Kristin Krug","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Anna Neill","Democratic","0","0","0","0","0","1","1","126"
"Precinct 34 Committeeman","Bill Keel","Republican","7","0","8","0","15","1","1","15"
"Precinct 34 Committeeman","WRITE-IN 225","","0","0","0","0","0","1","1","15"
"Precinct 35 H10 Committeeman","WRITE-IN 230","","1","0","4","0","5","1","1","8"
"Precinct 35 H10 Committeeman","Jay Calvet","Democratic","0","0","1","0","1","1","1","8"
"Precinct 35 H10 Committeeman","Wayne Propst","Democratic","0","0","1","0","1","1","1","8"
"Precinct 35 H10 Committeeman","Aaron Trippel","Democratic","0","0","1","0","1","1","1","8"
"Precinct 35 H10 Committeeman","WRITE-IN 231","","0","0","2","0","2","1","1","3"
"Precinct 35 H10 Committeeman","Constance D. Gilroy","Republican","0","0","1","0","1","1","1","3"
"Precinct 35 H46 Committeeman","WRITE-IN 233","","7","0","5","0","12","1","1","25"
"Precinct 35 H46 Committeeman","Fred Sack","Democratic","0","0","5","0","5","1","1","25"
"Precinct 35 H46 Committeeman","Richard Heckler","Democratic","0","0","2","0","2","1","1","25"
"Precinct 35 H46 Committeeman","Dan Hoyt","Democratic","0","0","1","0","1","1","1","25"
"Precinct 35 H46 Committeeman","Ryan Reza","Democratic","0","0","1","0","1","1","1","25"
"Precinct 35 H46 Committeeman","Pay Kraft","Democratic","0","0","1","0","1","1","1","25"
"Precinct 35 H46 Committeeman","Sam Allison-Natalie","Democratic","0","0","1","0","1","1","1","25"
"Precinct 35 H46 Committeeman","Dennis Constance","Democratic","0","0","1","0","1","1","1","25"
"Precinct 35 H46 Committeeman","Davey W. Richardson","Democratic","0","0","1","0","1","1","1","25"
"Precinct 35 H46 Committeeman","WRITE-IN 234","","0","0","0","0","0","1","101","0"
"Precinct 36 Committeeman","WRITE-IN 236","","8","0","5","0","13","1","1","25"
"Precinct 36 Committeeman","Stephen Mason","Democratic","0","0","2","0","2","1","1","25"
"Precinct 36 Committeeman","Ben Terwilliger","Democratic","2","0","0","0","2","1","1","25"
"Precinct 36 Committeeman","John A Davies","Democratic","2","0","0","0","2","1","1","25"
"Precinct 36 Committeeman","Abigail Lanpher","Democratic","0","0","1","0","1","1","1","25"
"Precinct 36 Committeeman","Brent T McCall","Democratic","0","0","1","0","1","1","1","25"
"Precinct 36 Committeeman","Karrington Johnson","Democratic","0","0","1","0","1","1","1","25"
"Precinct 36 Committeeman","Gary D. Brown","Democratic","1","0","0","0","1","1","1","25"
"Precinct 36 Committeeman","Dustin Stumblingbear","Democratic","1","0","0","0","1","1","1","25"
"Precinct 36 Committeeman","Kevin Elliott-Snow","Democratic","1","0","0","0","1","1","1","25"
"Precinct 36 Committeeman","WRITE-IN 237","","0","0","0","0","0","1","101","0"
"Precinct 37 Committeeman","WRITE-IN 239","","2","0","9","0","11","1","1","22"
"Precinct 37 Committeeman","Kyle D Snyder","Democratic","0","0","2","0","2","1","1","22"
"Precinct 37 Committeeman","Melissa Oropeza","Democratic","0","0","2","0","2","1","1","22"
"Precinct 37 Committeeman","Steve Heling","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Randy Hensley","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Tonda Hill","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Anthony Harvey, Jr","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Anthony Harvey, Sr","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Roger Pfeifer","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Danielle Demby-Pennington","Democratic","0","0","1","0","1","1","1","22"
"Precinct 37 Committeeman","Chris Wayne McHenry","Republican","9","0","24","0","33","1","1","34"
"Precinct 37 Committeeman","WRITE-IN 240","","0","0","1","0","1","1","1","34"
"Precinct 38 H10 Committeeman","WRITE-IN 242","","2","0","6","0","8","1","1","12"
"Precinct 38 H10 Committeeman","Michelle Cadue","Democratic","0","0","1","0","1","1","1","12"
"Precinct 38 H10 Committeeman","Doug Woods","Democratic","0","0","1","0","1","1","1","12"
"Precinct 38 H10 Committeeman","John Jurkovich","Democratic","1","0","0","0","1","1","1","12"
"Precinct 38 H10 Committeeman","Kevin Kelly","Democratic","1","0","0","0","1","1","1","12"
"Precinct 38 H10 Committeeman","Jace Lington","Republican","0","0","1","0","1","1","1","2"
"Precinct 38 H10 Committeeman","WRITE-IN 243","","0","0","1","0","1","1","1","2"
"Precinct 38 H42 Committeeman","WRITE-IN 998","","0","0","3","0","3","1","1","8"
"Precinct 38 H42 Committeeman","Daniel A. Nitchals","Democratic","0","0","2","0","2","1","1","8"
"Precinct 38 H42 Committeeman","Carroll Shelby","Democratic","0","0","1","0","1","1","1","8"
"Precinct 38 H42 Committeeman","Mark Algren","Democratic","0","0","1","0","1","1","1","8"
"Precinct 38 H42 Committeeman","Kent Lauridsen","Democratic","1","0","0","0","1","1","1","8"
"Precinct 38 H42 Committeeman","WRITE-IN 997","","0","0","0","0","0","1","101","0"
"Precinct 39 Committeeman","Barry M. Shalinsky","Democratic","40","0","149","4","193","1","1","204"
"Precinct 39 Committeeman","WRITE-IN 245","","2","0","4","0","6","1","1","204"
"Precinct 39 Committeeman","Jesse Brubacker","Democratic","0","0","1","0","1","1","1","204"
"Precinct 39 Committeeman","Robert Brian Reed","Democratic","0","0","1","0","1","1","1","204"
"Precinct 39 Committeeman","Drew James","Democratic","0","0","1","0","1","1","1","204"
"Precinct 39 Committeeman","Eric Jay","Democratic","0","0","1","0","1","1","1","204"
"Precinct 39 Committeeman","Thad Holcomb","Democratic","0","0","1","0","1","1","1","204"
"Precinct 39 Committeeman","Wayne Propst","Republican","0","0","1","0","1","1","1","2"
"Precinct 39 Committeeman","WRITE-IN 246","","0","0","1","0","1","1","1","2"
"Precinct 40 Committeeman","Craig Stancliffe","Democratic","48","0","127","2","177","1","1","184"
"Precinct 40 Committeeman","WRITE-IN 248","","1","0","3","0","4","1","1","184"
"Precinct 40 Committeeman","Stuart Boley","Democratic","0","0","1","0","1","1","1","184"
